drugbankID,Result
DB00759,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
DB00152,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
DB00352,C1=NC2=C(N1)C(=S)N=C(N2)N
DB08844,C12=C(NC(=O)N1)NC(=O)NC2=O
DB01042,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
DB01708,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
DB15533,[O-]S(=O)(=O)[O-].[Ca+2]
DB00523,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
DB00603,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
DB04868,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
DB01177,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
DB00444,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O
DB00813,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
DB08399,C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O
DB01146,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3
DB00888,CN(CCCl)CCCl
DB08437,CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)C(CC4=CC=C(C=C4)OC)N)O
DB12539,CC1=C(SSC1=S)C2=NC=CN=C2
DB00446,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
