miRNA_Name,id
MIMAT0002829,680
MIMAT0002834,681
MIMAT0002843,682
MIMAT0002846,683
MIMAT0002856,684
MIMAT0002830,685
MIMAT0002858,686
MIMAT0002867,687
MIMAT0002854,688
MIMAT0002868,689
MIMAT0002840,690
MIMAT0002850,691
MIMAT0002849,692
MIMAT0002839,693
MIMAT0002838,694
MIMAT0002845,695
MIMAT0002835,696
MIMAT0004780,697
MIMAT0002888,698
MIMAT0003163,699
MIMAT0004920,700
MIMAT0003389,701
MIMAT0003340,702
MIMAT0004954,703
MIMAT0003164,704
MIMAT0003165,705
MIMAT0003251,706
MIMAT0003254,707
MIMAT0004798,708
MIMAT0003285,709
MIMAT0004806,710
MIMAT0003323,711
MIMAT0004812,712
MIMAT0026739,713
MIMAT0005928,714
MIMAT0003333,715
MIMAT0003257,716
MIMAT0004800,717
MIMAT0003214,718
MIMAT0003233,719
MIMAT0003215,720
MIMAT0003216,721
MIMAT0003219,722
MIMAT0003220,723
MIMAT0003221,724
MIMAT0003222,725
MIMAT0003223,726
MIMAT0003225,727
MIMAT0003227,728
MIMAT0003228,729
MIMAT0003232,730
MIMAT0003234,731
MIMAT0003235,732
MIMAT0022496,733
MIMAT0003236,734
MIMAT0003237,735
MIMAT0003238,736
MIMAT0003239,737
MIMAT0004795,738
MIMAT0003240,739
MIMAT0003241,740
MIMAT0003242,741
MIMAT0003243,742
MIMAT0003244,743
MIMAT0003246,744
MIMAT0003247,745
MIMAT0003248,746
MIMAT0003249,747
MIMAT0003250,748
MIMAT0003252,749
MIMAT0003253,750
MIMAT0003255,751
MIMAT0003256,752
MIMAT0004799,753
MIMAT0004801,754
MIMAT0003258,755
MIMAT0003259,756
MIMAT0003260,757
MIMAT0004802,758
MIMAT0003263,759
MIMAT0003264,760
MIMAT0003265,761
MIMAT0003266,762
MIMAT0026620,763
MIMAT0003269,764
MIMAT0003270,765
MIMAT0003271,766
MIMAT0003273,767
MIMAT0003274,768
MIMAT0003275,769
MIMAT0003276,770
MIMAT0003278,771
MIMAT0003279,772
MIMAT0003280,773
MIMAT0003281,774
MIMAT0024618,775
MIMAT0003282,776
MIMAT0003283,777
MIMAT0003286,778
MIMAT0003287,779
MIMAT0003289,780
MIMAT0003290,781
MIMAT0003291,782
MIMAT0003292,783
MIMAT0004807,784
MIMAT0004808,785
MIMAT0003294,786
MIMAT0003295,787
MIMAT0003296,788
MIMAT0003297,789
MIMAT0004809,790
MIMAT0003298,791
MIMAT0004810,792
MIMAT0003299,793
MIMAT0003300,794
MIMAT0003302,795
MIMAT0003303,796
MIMAT0003304,797
MIMAT0003305,798
MIMAT0003306,799
MIMAT0003307,800
MIMAT0003308,801
MIMAT0003309,802
MIMAT0003310,803
MIMAT0003311,804
MIMAT0003312,805
MIMAT0003313,806
MIMAT0003314,807
MIMAT0003315,808
MIMAT0003317,809
MIMAT0003319,810
MIMAT0003320,811
MIMAT0003321,812
MIMAT0003322,813
MIMAT0003328,814
MIMAT0004814,815
MIMAT0003330,816
MIMAT0003331,817
MIMAT0003335,818
MIMAT0003336,819
MIMAT0003337,820
MIMAT0003338,821
MIMAT0003324,822
MIMAT0003325,823
MIMAT0003326,824
MIMAT0005949,825
MIMAT0004952,826
MIMAT0003881,827
MIMAT0010357,828
MIMAT0003880,829
MIMAT0004284,830
MIMAT0018204,831
MIMAT0004553,832
MIMAT0000252,833
MIMAT0003493,834
MIMAT0004926,835
MIMAT0012734,836
MIMAT0012735,837
MIMAT0004946,838
MIMAT0004945,839
MIMAT0003879,840
MIMAT0004957,841
MIMAT0010313,842
MIMAT0003945,843
MIMAT0003888,844
MIMAT0003882,845
MIMAT0003887,846
MIMAT0003886,847
MIMAT0003948,848
MIMAT0004185,849
MIMAT0004953,850
MIMAT0004911,851
MIMAT0004923,852
MIMAT0004925,853
MIMAT0004950,854
MIMAT0004949,855
MIMAT0004948,856
MIMAT0004947,857
MIMAT0004951,858
MIMAT0026720,859
MIMAT0004916,860
MIMAT0004921,861
MIMAT0026719,862
MIMAT0004902,863
MIMAT0004913,864
MIMAT0004907,865
MIMAT0004918,866
MIMAT0000442,867
MIMAT0000441,868
MIMAT0004970,869
MIMAT0004971,870
MIMAT0004972,871
MIMAT0004974,872
MIMAT0004507,873
MIMAT0004508,874
MIMAT0000092,875
MIMAT0003218,876
MIMAT0000093,877
MIMAT0004976,878
MIMAT0004977,879
MIMAT0004978,880
MIMAT0004981,881
MIMAT0004982,882
MIMAT0026473,883
MIMAT0000095,884
MIMAT0000096,885
MIMAT0000097,886
MIMAT0000689,887
MIMAT0005582,888
MIMAT0004561,889
MIMAT0004513,890
MIMAT0000444,891
MIMAT0005877,892
MIMAT0004614,893
MIMAT0014988,894
MIMAT0000771,895
MIMAT0019876,896
MIMAT0000734,897
MIMAT0019359,898
MIMAT0004813,899
MIMAT0009203,900
MIMAT0019689,901
MIMAT0019697,902
MIMAT0019733,903
MIMAT0019745,904
MIMAT0019848,905
MIMAT0019919,906
MIMAT0019920,907
MIMAT0002825,908
MIMAT0004979,909
MIMAT0004983,910
MIMAT0000260,911
MIMAT0004784,912
MIMAT0004683,913
MIMAT0004796,914
MIMAT0002828,915
MIMAT0004694,916
MIMAT0004693,917
MIMAT0004679,918
MIMAT0004804,919
MIMAT0019213,920
MIMAT0004778,921
MIMAT0003386,922
MIMAT0002833,923
MIMAT0004552,924
MIMAT0004571,925
MIMAT0004792,926
MIMAT0004494,927
MIMAT0001343,928
MIMAT0004701,929
MIMAT0004502,930
MIMAT0005455,931
MIMAT0005948,932
MIMAT0004761,933
MIMAT0004765,934
MIMAT0006790,935
MIMAT0004797,936
MIMAT0022721,937
MIMAT0004512,938
MIMAT0022693,939
MIMAT0007890,940
MIMAT0026614,941
MIMAT0004811,942
MIMAT0004749,943
MIMAT0027550,944
MIMAT0027590,945
MIMAT0027673,946
MIMAT0004779,947
MIMAT0015073,948
MIMAT0004509,949
MIMAT0004927,950
MIMAT0004484,951
MIMAT0004774,952
MIMAT0005872,953
MIMAT0005450,954
MIMAT0026480,955
MIMAT0004517,956
MIMAT0004613,957
MIMAT0004658,958
MIMAT0004752,959
MIMAT0004768,960
MIMAT0004611,961
MIMAT0022942,962
MIMAT0002813,963
MIMAT0005573,964
MIMAT0002879,965
MIMAT0003293,966
MIMAT0004924,967
MIMAT0004975,968
MIMAT0000094,969
MIMAT0005905,970
MIMAT0005926,971
MIMAT0015090,972
MIMAT0018079,973
MIMAT0020602,974
MIMAT0023712,975
MIMAT0022742,976
MIMAT0009454,977
MIMAT0017985,978
MIMAT0018073,979
MIMAT0018096,980
MIMAT0018100,981
MIMAT0018115,982
MIMAT0019034,983
MIMAT0019071,984
MIMAT0020603,985
